R00001	polyphosphate polyphosphohydrolase	C00404 + C00001	C02174	C00404 + n C00001 <=> (n+1) C02174	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate	Polyphosphate + n H2O <=> (n+1) Oligophosphate
R00002	reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	C00002 + C00001 + C00138	C05359 + C00009 + C00008 + C00139	16 C00002 + 16 C00001 + 8 C00138 <=> 8 C05359 + 16 C00009 + 16 C00008 + 8 C00139	reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing); 16 ATP + 16 H2O + 8 Reduced ferredoxin <=> 8 e- + 16 Orthophosphate + 16 ADP + 8 Oxidized ferredoxin	16 ATP + 16 H2O + 8 Reduced ferredoxin <=> 8 e- + 16 Orthophosphate + 16 ADP + 8 Oxidized ferredoxin
R00004	diphosphate phosphohydrolase;	C00013 + C00001	C00009	C00013 + C00001 <=> 2 C00009	diphosphate phosphohydrolase; pyrophosphate phosphohydrolase; Diphosphate + H2O <=> 2 Orthophosphate	Diphosphate + H2O <=> 2 Orthophosphate
R00005	urea-1-carboxylate amidohydrolase	C01010 + C00001	C00011 + C00014	C01010 + C00001 <=> 2 C00011 + 2 C00014	urea-1-carboxylate amidohydrolase; Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia	Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia
R00006	pyruvate:pyruvate acetaldehydetransferase (decarboxylating);	C00900 + C00011	C00022	C00900 + C00011 <=> 2 C00022	pyruvate:pyruvate acetaldehydetransferase (decarboxylating); 2-acetolactate pyruvate-lyase (carboxylating); 2-Acetolactate + CO2 <=> 2 Pyruvate	2-Acetolactate + CO2 <=> 2 Pyruvate
R00008	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)	C06033	C00022	C06033 <=> 2 C00022	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming); Parapyruvate <=> 2 Pyruvate	Parapyruvate <=> 2 Pyruvate
R00009	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	C00027	C00007 + C00001	2 C00027 <=> C00007 + 2 C00001	hydrogen-peroxide:hydrogen-peroxide oxidoreductase; 2 Hydrogen peroxide <=> Oxygen + 2 H2O	2 Hydrogen peroxide <=> Oxygen + 2 H2O
R00010	alpha,alpha-trehalose glucohydrolase	C01083 + C00001	C00031	C01083 + C00001 <=> 2 C00031	alpha,alpha-trehalose glucohydrolase; alpha,alpha-Trehalose + H2O <=> 2 D-Glucose	alpha,alpha-Trehalose + H2O <=> 2 D-Glucose
R00011	Mn(II):hydrogen-peroxide oxidoreductase	C19610 + C00027 + C00080	C19611 + C00001	2 C19610 + C00027 + 2 C00080 <=> 2 C19611 + 2 C00001	Mn(II):hydrogen-peroxide oxidoreductase; 2 Manganese(2+) + Hydrogen peroxide + 2 H+ <=> 2 Manganese(3+) + 2 H2O	2 Manganese(2+) + Hydrogen peroxide + 2 H+ <=> 2 Manganese(3+) + 2 H2O
R00012	GTP:GTP guanylyltransferase	C00044	C00013 + C01261	2 C00044 <=> C00013 + C01261	GTP:GTP guanylyltransferase; 2 GTP <=> Diphosphate + P1,P4-Bis(5'-guanosyl) tetraphosphate	2 GTP <=> Diphosphate + P1,P4-Bis(5'-guanosyl) tetraphosphate
R00013	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)	C00048	C01146 + C00011	2 C00048 <=> C01146 + C00011	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming); 2 Glyoxylate <=> 2-Hydroxy-3-oxopropanoate + CO2	2 Glyoxylate <=> 2-Hydroxy-3-oxopropanoate + CO2
