3.6.1.10	R00001
1.18.6.1	R00002
3.6.1.1	R00004
3.5.1.54	R00005
2.2.1.6	R00006
4.1.3.17	R00008
1.11.1.6	R00009
1.11.1.21	R00009
3.2.1.28	R00010
1.11.1.13	R00011
1.11.1.16	R00011
2.7.7.45	R00012
4.1.1.47	R00013
1.2.4.1	R00014
2.2.1.6	R00014
4.1.1.1	R00014
2.4.1.99	R00015
1.11.1.5	R00017
2.5.1.44	R00018
1.12.7.2	R00019
1.12.99.-	R00019
1.4.7.1	R00021
3.2.1.52	R00022
1.7.1.5	R00023
4.1.1.39	R00024
1.13.12.16	R00025
3.2.1.21	R00026
4.1.2.38	R00027
3.2.1.20	R00028
1.8.2.2	R00029
1.10.3.1	R00031
1.14.18.1	R00031
1.13.11.63	R00032
1.1.3.23	R00033
4.1.99.3	R00034
4.2.1.24	R00036
4.1.2.35	R00038
2.4.1.166	R00039
1.1.3.20	R00041
1.2.3.13	R00042
1.13.11.43	R00043
1.21.3.2	R00044
1.10.3.1	R00045
1.14.18.1	R00045
1.14.99.-	R00047
3.1.1.22	R00048
2.3.1.90	R00049
1.11.1.10	R00052
3.1.1.20	R00053
3.1.1.40	R00054
1.1.3.28	R00055
3.6.1.-	R00056
1.8.3.2	R00057
1.10.3.1	R00058
1.14.18.1	R00058
3.5.1.46	R00059
1.21.3.4	R00060
1.21.3.5	R00061
2.3.1.103	R00063
2.5.1.9	R00066
1.18.6.1	R00067
1.10.3.3	R00068
1.14.13.-	R00069
1.17.3.2	R00069
1.1.3.23	R00072
1.14.99.1	R00073
1.10.3.4	R00074
2.5.1.43	R00075
2.7.11.19	R00076
3.1.3.17	R00077
1.16.3.1	R00078
1.1.3.14	R00080
1.10.3.1	R00080
7.1.1.9	R00081
7.1.1.9	R00082
1.10.3.2	R00083
2.5.1.61	R00084
3.6.1.5	R00085
3.6.1.5	R00086
3.6.1.8	R00086
3.6.1.15	R00086
3.6.1.-	R00086
3.6.1.8	R00087
3.6.1.9	R00087
3.5.4.17	R00088
3.5.4.18	R00088
4.6.1.1	R00089
1.11.1.1	R00090
1.16.1.7	R00092
1.4.1.14	R00093
1.8.1.7	R00094
1.6.5.4	R00095
1.6.2.2	R00100
1.6.2.6	R00101
3.2.2.5	R00102
3.2.2.6	R00102
3.5.1.-	R00102
3.6.1.9	R00103
3.6.1.22	R00103
2.7.1.23	R00104
2.7.1.86	R00105
1.6.2.4	R00106
1.6.2.5	R00108
1.6.2.6	R00109
1.14.13.39	R00111
1.6.1.1	R00112
1.6.1.3	R00112
1.11.1.2	R00113
1.4.1.13	R00114
1.8.1.7	R00115
3.1.3.108	R00118
3.1.3.-	R00118
2.4.99.20	R00119
1.8.3.3	R00120
3.6.1.5	R00122
3.5.4.7	R00123
3.5.4.17	R00123
2.7.4.6	R00124
3.6.1.41	R00125
2.7.7.53	R00126
2.7.4.3	R00127
3.6.1.14	R00128
4.2.1.93	R00129
2.7.1.24	R00130
3.5.1.5	R00131
4.2.1.1	R00132
1.17.1.10	R00134
3.4.11.5	R00135
2.7.7.1	R00137
2.7.7.18	R00137
3.6.1.25	R00138
2.7.4.6	R00139
2.7.4.12	R00140
2.7.3.8	R00141
1.7.1.10	R00143
1.7.99.1	R00143
1.4.1.1	R00145
1.4.1.2	R00145
1.4.1.3	R00145
1.4.1.4	R00145
1.4.1.1	R00146
1.4.1.2	R00146
1.4.1.3	R00146
1.4.1.4	R00146
1.14.99.39	R00148
6.3.4.16	R00149
2.7.2.2	R00150
3.5.5.-	R00152
1.18.6.1	R00153
3.6.1.5	R00155
3.6.1.6	R00155
2.7.4.6	R00156
2.7.4.10	R00157
2.7.4.4	R00158
2.7.4.14	R00158
2.7.4.22	R00158
3.6.1.5	R00159
3.6.1.39	R00159
3.6.1.9	R00160
3.6.1.18	R00160
2.7.7.2	R00161
2.7.11.1	R00162
2.7.11.8	R00162
2.7.11.9	R00162
2.7.11.10	R00162
3.1.3.16	R00164
3.1.3.74	R00173
2.7.1.35	R00174
2.5.1.6	R00177
4.1.1.50	R00178
4.4.1.14	R00179
3.5.4.6	R00181
3.5.4.17	R00181
3.2.2.4	R00182
3.1.3.5	R00183
3.6.1.17	R00184
3.6.1.61	R00184
2.7.1.20	R00185
3.6.1.29	R00187
3.1.3.7	R00188
3.1.3.97	R00188
6.3.1.5	R00189
6.3.5.1	R00189
2.4.2.7	R00190
3.1.4.17	R00191
3.1.4.53	R00191
3.13.2.1	R00192
3.5.4.28	R00193
3.2.2.9	R00194
4.3.1.15	R00195
1.1.2.3	R00196
1.1.2.4	R00197
1.1.2.5	R00198
2.7.9.2	R00199
2.7.1.40	R00200
1.2.1.22	R00203
1.2.1.23	R00203
1.2.1.49	R00205
2.7.9.1	R00206
1.2.3.3	R00207
3.1.3.60	R00208
1.2.1.104	R00209
1.2.1.51	R00210
1.2.3.6	R00211
2.3.1.54	R00212
4.3.1.13	R00213
1.1.1.38	R00214
1.1.1.39	R00214
1.1.1.83	R00215
1.1.1.40	R00216
1.1.1.38	R00217
1.1.1.40	R00217
4.1.1.112	R00217
4.1.1.78	R00218
4.1.1.-	R00219
4.3.1.17	R00220
4.3.1.19	R00220
4.3.1.18	R00221
4.3.1.15	R00223
4.1.1.1	R00224
2.2.1.6	R00226
3.1.2.1	R00227
1.2.1.10	R00228
6.2.1.13	R00229
2.3.1.8	R00230
4.1.1.9	R00233
6.2.1.1	R00235
6.2.1.1	R00236
4.1.3.25	R00237
2.3.1.9	R00238
2.3.1.16	R00238
2.7.2.11	R00239
1.4.1.2	R00243
1.4.1.3	R00243
1.4.1.14	R00243
1.2.1.88	R00245
1.4.1.3	R00248
1.4.1.4	R00248
1.4.1.13	R00248
1.4.3.11	R00250
3.5.2.9	R00251
6.3.1.2	R00253
3.5.1.87	R00254
1.4.1.13	R00256
1.4.1.14	R00256
1.4.7.1	R00256
2.6.1.85	R00256
6.3.5.1	R00257
2.6.1.2	R00258
2.3.1.1	R00259
5.1.1.3	R00260
4.1.1.15	R00261
5.4.99.1	R00262
1.2.1.3	R00264
1.2.1.26	R00264
1.2.1.52	R00265
1.1.1.42	R00267
1.1.1.42	R00268
3.5.1.3	R00269
3.5.1.111	R00269
2.3.3.14	R00271
4.1.1.71	R00272
1.2.3.4	R00273
1.11.1.9	R00274
1.15.1.1	R00275
1.4.3.5	R00277
1.4.3.5	R00278
1.4.3.7	R00279
1.4.3.15	R00279
1.7.2.1	R00280
1.6.99.1	R00282
1.3.7.8	R00283
1.7.99.1	R00284
